project,issue_key,summary,description,status,priority,predicted_agent,confidence_score
Project-2,ISSUE-4776,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,Medium,Support,
Project-5,ISSUE-5783,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Medium,Feature Request,
Project-9,ISSUE-9377,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,Medium,Improvement,
Project-7,ISSUE-3737,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-8,ISSUE-3727,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-8,ISSUE-9108,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Medium,Feature Request,
Project-1,ISSUE-8324,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-3,ISSUE-5527,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,Medium,Feature Request,
Project-8,ISSUE-8289,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-3,ISSUE-9473,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Open,Low,Task,
Project-5,ISSUE-6374,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Low,Feature Request,
Project-5,ISSUE-8385,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-10,ISSUE-9691,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-5,ISSUE-4931,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-2,ISSUE-4232,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-7,ISSUE-6659,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Closed,Critical,Task,
Project-9,ISSUE-3856,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,Low,Support,
Project-3,ISSUE-1740,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Closed,Low,Task,
Project-2,ISSUE-4073,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,High,Improvement,
Project-4,ISSUE-9396,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,High,Support,
Project-5,ISSUE-2467,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Low,Support,
Project-8,ISSUE-2499,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Closed,Critical,Feature Request,
Project-9,ISSUE-7399,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,Low,Feature Request,
Project-8,ISSUE-1992,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-9,ISSUE-1393,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,Low,Task,
Project-7,ISSUE-3179,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,Critical,Support,
Project-5,ISSUE-9697,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-8,ISSUE-7955,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-10,ISSUE-5701,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-4,ISSUE-3677,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,Medium,Support,
Project-2,ISSUE-7841,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,Low,Support,
Project-3,ISSUE-6778,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Low,Task,
Project-1,ISSUE-3972,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-2,ISSUE-5525,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,In Progress,Medium,Improvement,
Project-6,ISSUE-2738,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,High,Support,
Project-4,ISSUE-5827,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Closed,Low,Bug Tracking,
Project-10,ISSUE-7836,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-6,ISSUE-8217,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-2,ISSUE-3720,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Critical,Bug Tracking,
Project-6,ISSUE-8933,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Open,Critical,Bug Tracking,
Project-9,ISSUE-3595,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-3,ISSUE-8491,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-2,ISSUE-5549,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Critical,Improvement,
Project-6,ISSUE-5054,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Open,Low,Task,
Project-3,ISSUE-2260,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,In Progress,High,Feature Request,
Project-4,ISSUE-5518,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,Medium,Support,
Project-1,ISSUE-9881,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Open,Medium,Task,
Project-1,ISSUE-6966,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-1,ISSUE-3328,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Open,Low,Task,
Project-1,ISSUE-8229,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-6,ISSUE-3971,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,Medium,Support,
Project-4,ISSUE-5511,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,Medium,Feature Request,
Project-8,ISSUE-3611,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-5,ISSUE-1812,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,Critical,Feature Request,
Project-4,ISSUE-9920,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,Medium,Support,
Project-9,ISSUE-2665,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Closed,High,Bug Tracking,
Project-4,ISSUE-1574,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,High,Task,
Project-10,ISSUE-6005,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Closed,Critical,Feature Request,
Project-6,ISSUE-9248,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,High,Support,
Project-3,ISSUE-1694,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,High,Task,
Project-9,ISSUE-1707,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-2,ISSUE-1948,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-1,ISSUE-8639,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Low,Task,
Project-1,ISSUE-5060,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,Low,Task,
Project-7,ISSUE-3051,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,High,Support,
Project-7,ISSUE-4314,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-4,ISSUE-8171,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,Low,Feature Request,
Project-4,ISSUE-4865,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-8,ISSUE-5160,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-1,ISSUE-9392,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,Critical,Feature Request,
Project-9,ISSUE-1843,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Critical,Bug Tracking,
Project-9,ISSUE-1203,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,Low,Task,
Project-9,ISSUE-5707,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,High,Feature Request,
Project-6,ISSUE-3774,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Critical,Feature Request,
Project-2,ISSUE-3729,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
Project-6,ISSUE-5153,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-3,ISSUE-4806,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Medium,Task,
Project-3,ISSUE-4536,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,Low,Support,
Project-8,ISSUE-3745,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,In Progress,Medium,Bug Tracking,
Project-3,ISSUE-2115,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,Critical,Feature Request,
Project-4,ISSUE-6560,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Low,Feature Request,
Project-10,ISSUE-9865,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,Critical,Support,
Project-4,ISSUE-2205,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-3,ISSUE-2527,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,High,Support,
Project-9,ISSUE-7373,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-5,ISSUE-6884,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-4,ISSUE-7451,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,Critical,Support,
Project-9,ISSUE-5135,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,High,Improvement,
Project-5,ISSUE-9653,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,Low,Feature Request,
Project-4,ISSUE-7327,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Medium,Task,
Project-1,ISSUE-1615,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-1,ISSUE-1396,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,High,Task,
Project-7,ISSUE-7326,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,High,Feature Request,
Project-4,ISSUE-7621,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,High,Task,
Project-2,ISSUE-7466,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,Critical,Feature Request,
Project-5,ISSUE-5686,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,In Progress,Low,Support,
Project-10,ISSUE-9188,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Closed,High,Bug Tracking,
Project-6,ISSUE-3841,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Low,Feature Request,
Project-8,ISSUE-5822,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,Low,Improvement,
Project-7,ISSUE-8471,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,Critical,Feature Request,
Project-3,ISSUE-9912,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,High,Support,
Project-2,ISSUE-2879,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
Project-9,ISSUE-6380,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-7,ISSUE-9481,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,High,Task,
Project-3,ISSUE-5716,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,Critical,Bug Tracking,
Project-10,ISSUE-4747,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Low,Task,
Project-10,ISSUE-7180,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-10,ISSUE-2269,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,High,Support,
Project-2,ISSUE-1248,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Medium,Feature Request,
Project-9,ISSUE-3780,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-4,ISSUE-7777,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,Medium,Feature Request,
Project-7,ISSUE-5591,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-8,ISSUE-3314,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-9,ISSUE-7757,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,Low,Support,
Project-8,ISSUE-9955,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Closed,Low,Task,
Project-1,ISSUE-2594,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,High,Feature Request,
Project-8,ISSUE-8864,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,Medium,Support,
Project-5,ISSUE-2326,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-6,ISSUE-4856,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,High,Task,
Project-10,ISSUE-2461,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Open,Medium,Support,
Project-7,ISSUE-5401,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,High,Feature Request,
Project-4,ISSUE-1690,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-2,ISSUE-7424,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,Low,Improvement,
Project-5,ISSUE-2859,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Open,Medium,Task,
Project-6,ISSUE-5084,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Closed,High,Improvement,
Project-2,ISSUE-6211,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-9,ISSUE-2675,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-8,ISSUE-6659,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-2,ISSUE-1391,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,Low,Support,
Project-7,ISSUE-8570,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Open,Low,Task,
Project-8,ISSUE-7624,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-5,ISSUE-1649,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-8,ISSUE-9413,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-3,ISSUE-8409,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,High,Task,
Project-6,ISSUE-4768,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-8,ISSUE-7975,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-8,ISSUE-5046,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,Critical,Improvement,
Project-6,ISSUE-6869,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-2,ISSUE-4321,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-2,ISSUE-6092,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-6,ISSUE-6330,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Closed,Critical,Task,
Project-2,ISSUE-9307,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,Medium,Bug Tracking,
Project-9,ISSUE-8308,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Low,Support,
Project-1,ISSUE-5485,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-10,ISSUE-9100,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Low,Task,
Project-2,ISSUE-5826,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-6,ISSUE-4520,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Medium,Task,
Project-2,ISSUE-1970,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,Low,Task,
Project-1,ISSUE-2456,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Closed,Low,Bug Tracking,
Project-2,ISSUE-1462,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,Medium,Support,
Project-9,ISSUE-5434,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Closed,High,Improvement,
Project-1,ISSUE-8366,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,Low,Support,
Project-2,ISSUE-6938,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-2,ISSUE-4734,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Low,Bug Tracking,
Project-9,ISSUE-8743,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Open,High,Task,
Project-10,ISSUE-4101,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,Low,Support,
Project-2,ISSUE-7650,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Closed,Low,Task,
Project-5,ISSUE-7911,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Open,Low,Support,
Project-1,ISSUE-3689,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
Project-6,ISSUE-2376,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-4,ISSUE-6108,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-10,ISSUE-4423,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Medium,Support,
